feature,code,meaning,health_risk,advice
剑眉,sword_brow,"果断坚毅、有领导力。","容易紧绷、血压偏高。","做放松训练、减少咸食。"
八字眉,eight_brow,"温柔随和、重情重义。","易情绪化。","保持规律作息，适当冥想。"
眉疏,thin_brow,"理性但缺乏安全感。","内分泌波动。","少熬夜、补充维 B。"
眼大,large_eye,"感性、同理心强。","睡眠不足、黑眼圈。","保持早睡、少泪目。"
单眼皮,mono_eye,"冷静、理性、内向。","偏头痛、压力。","适度运动释放压力。"
鹰钩鼻,eagle_nose,"自信强势、商业能力强。","肝火旺、易怒。","喝菊花、枸杞茶。"
圆鼻,round_nose,"善良有福气。","代谢慢、易胖。","轻断食、快走。"
薄唇,thin_lip,"理性、表达少。","便秘、皮肤干燥。","多喝水、补充油脂。"
厚唇,thick_lip,"热情、活力强。","湿气重、痘痘。","清淡饮食、减少甜食。"
国字脸,square_face,"稳重可靠。","肩颈僵硬。","热敷、按摩。"
瓜子脸,oval_face,"温柔细致。","贫血、气虚。","补气血食材。"

